player_name,player_position,height,nationality,date_of_birth,weight
Florent Hadergjonaj,Defender,182cm,Kosovo,31/07/1994,
SalomÃ³n RondÃ³n,Forward,186cm,Venezuela,16/09/1989,98
Jamie Shackleton,Midfielder,168cm,England,08/10/1999,65
Danilo,Defender,184cm,Brazil,15/07/1991,
Joel Ward,Defender,188cm,England,29/10/1989,83
Steve Sidwell,Midfielder,178cm,England,14/12/1982,
Caoimhin Kelleher,Goalkeeper,178cm,Ireland,23/11/1998,74
Nohan Kenneh,Midfielder,,England,10/01/2003,
Adam Leathers,Midfielder,,England,14/11/2001,
Ola Aina,Defender,184cm,Nigeria,08/10/1996,
Aaron Cresswell,Defender,170cm,England,15/12/1989,66
Tomas Kalas,Defender,183cm,Czech Republic,15/05/1993,
Baily Cargill,Defender,189cm,England,05/07/1995,
Billy Koumetio,Defender,,France,14/11/2002,
JoÃ£o Cancelo,Defender,182cm,Portugal,27/05/1994,74
Alexander SÃ¸rloth,Forward,195cm,Norway,05/12/1995,
Henry Lawrence,Defender,,England,21/09/2001,
Cheikhou KouyatÃ©,Midfielder,189cm,Senegal,21/12/1989,83
Henrikh Mkhitaryan,Midfielder,177cm,Armenia,21/01/1989,
Joel Lopez Salguero,Defender,,Spain,31/03/2002,
Auston Trusty,Defender,191cm,United States,12/08/1998,
Nathanael Ogbeta,Defender,,England,28/04/2001,
Tudor Baluta,Defender,192cm,Romania,27/03/1999,80
Cesc FÃ bregas,Midfielder,180cm,Spain,04/05/1987,
Wesley Hoedt,Defender,188cm,Netherlands,06/03/1994,
Claudio Bravo,Goalkeeper,184cm,Chile,13/04/1983,
Mattias KÃ¤it,Midfielder,186cm,Estonia,29/06/1998,
Tom Heaton,Goalkeeper,188cm,England,15/04/1986,85
Layton Ndukwu,Forward,177cm,England,07/09/1998,
Sepp van den Berg,Defender,189cm,Netherlands,20/12/2001,
Aaron O'Driscoll,Defender,188cm,Ireland,04/04/1999,
Cieran Slicker,Goalkeeper,,Scotland,15/09/2002,
Jeremy Sarmiento,Forward,,Ecuador,16/06/2002,
Connor Mahoney,Midfielder,175cm,England,12/02/1997,
Benjamin Chrisene,Midfielder,,England,12/01/2004,
Zidane Iqbal,Midfielder,,Iraq,27/04/2003,
Kieran Dowell,Midfielder,175cm,England,10/10/1997,70
Ethan Fitzhugh,Midfielder,,England,27/11/2002,
Wilfried Zaha,Forward,180cm,Cote Dâ€™Ivoire,10/11/1992,66
Harvey Vale,Midfielder,,England,11/09/2003,
Josh Murphy,Midfielder,173cm,England,24/02/1995,
Jon Thorsteinsson,Midfielder,177cm,Iceland,26/11/1998,
Antwoine Hackford,Forward,,England,20/03/2004,
Jamie Bowden,Midfielder,,Ireland,09/07/2001,
David Raya,Goalkeeper,183cm,Spain,15/09/1995,80
Wes Foderingham,Goalkeeper,185cm,England,14/01/1991,
Dara O'Shea,Defender,188cm,Ireland,04/03/1999,
Daniel Podence,Midfielder,165cm,Portugal,21/10/1995,58
Heurelho Gomes,Goalkeeper,191cm,Brazil,15/02/1981,
Adam Lewis,Defender,175cm,England,08/11/1999,
Oliver McBurnie,Forward,188cm,Scotland,04/06/1996,
Conor Bradley,Midfielder,,Northern Ireland,09/07/2003,
Ademipo Odubeko,Forward,,Ireland,21/10/2002,
Mackenzie Hunt,Midfielder,,England,14/11/2001,
Lloyd Humphries,Midfielder,,Wales,03/10/1997,
Lee Tomlin,Forward,180cm,England,12/01/1989,
Jordon Mutch,Midfielder,188cm,England,02/12/1991,
Wanya Madavidua,Midfielder,,England,,
Lee Camp,Goalkeeper,183cm,Northern Ireland,22/08/1984,
Joe Tupper,Goalkeeper,,England,15/11/1997,
Leander Dendoncker,Midfielder,188cm,Belgium,15/04/1995,83
Chicharito,Forward,175cm,Mexico,01/06/1988,
Mace Goodridge,Midfielder,180cm,England,13/09/1999,
James Tomkins,Defender,192cm,England,29/03/1989,74
Rekeem Harper,Midfielder,188cm,England,08/03/2000,
David McGoldrick,Forward,183cm,Ireland,29/11/1987,
James Storer,Goalkeeper,,England,,
CÃ©dric Soares,Defender,172cm,Portugal,31/08/1991,67
Shandon Baptiste,Midfielder,175cm,Grenada,08/04/1998,71
Petr Cech,Goalkeeper,196cm,Czech Republic,20/05/1982,
Thomas Hill,Forward,,England,13/10/2002,
Timo Werner,Forward,180cm,Germany,06/03/1996,75
Callum Wright,Midfielder,,England,02/05/2000,
Jonathan Williams,Midfielder,168cm,Wales,09/10/1993,
Billy Arce,Midfielder,178cm,Ecuador,12/07/1998,
Victor Moses,Midfielder,177cm,Nigeria,12/12/1990,
Soufyan Ahannach,Midfielder,179cm,Netherlands,09/09/1995,
Youri Tielemans,Midfielder,176cm,Belgium,07/05/1997,72
Sandro RamÃ­rez,Forward,175cm,Spain,09/07/1995,
Sam Johnstone,Goalkeeper,193cm,England,25/03/1993,
Yves Bissouma,Midfielder,182cm,Mali,30/08/1996,80
George Baldock,Defender,178cm,England,09/03/1993,
Jeff Reine-AdÃ©laÃ¯de,Midfielder,183cm,France,17/01/1998,
Ed Turns,Defender,,Wales,18/10/2002,
Kenny McLean,Midfielder,183cm,Scotland,08/01/1992,70
